epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,2366.32,0.48061,0.37472,0.32575,1.04477,0.98673,0.94966,0.9619,0.94606,0.98532,0.9483,0.96059,0.94595,0.1586,0.51667,0.32981,0.82938,0.007129,0.007129,0.007129
89,2393.01,0.47852,0.38541,0.32336,1.03735,0.9978,0.94014,0.96041,0.94242,0.99635,0.93878,0.95874,0.9433,0.16417,0.49242,0.29715,0.83135,0.007096,0.007096,0.007096
90,2419.73,0.48231,0.3716,0.32311,1.04525,0.99552,0.93469,0.95457,0.93852,0.99407,0.93333,0.95324,0.93877,0.16287,0.50757,0.32081,0.8351,0.007063,0.007063,0.007063
91,2446.42,0.46775,0.38652,0.31775,1.03065,0.99283,0.94147,0.96198,0.94242,0.99283,0.94147,0.96391,0.94515,0.15531,0.57223,0.22775,0.83722,0.00703,0.00703,0.00703
92,2473.06,0.46772,0.35801,0.31503,1.03528,0.9971,0.93878,0.95506,0.94246,0.99565,0.93741,0.95397,0.94456,0.15328,0.51817,0.26235,0.8299,0.006997,0.006997,0.006997
93,2499.58,0.47161,0.35824,0.32093,1.03442,0.99141,0.94182,0.96604,0.94574,0.98997,0.94046,0.96117,0.94411,0.19062,0.55179,0.22612,0.84296,0.006964,0.006964,0.006964
94,2526.52,0.47117,0.36345,0.31409,1.03386,0.99073,0.9415,0.96763,0.94902,0.9893,0.94014,0.96661,0.9494,0.16789,0.53016,0.22552,0.8354,0.006931,0.006931,0.006931
95,2553.15,0.46699,0.36788,0.31815,1.0364,0.99443,0.94014,0.96418,0.94619,0.99234,0.9415,0.96322,0.94594,0.16701,0.56832,0.24529,0.8374,0.006898,0.006898,0.006898
96,2579.82,0.46981,0.35459,0.32105,1.02985,0.9957,0.94586,0.96187,0.94712,0.99284,0.94314,0.96101,0.94755,0.16683,0.50374,0.2651,0.8332,0.006865,0.006865,0.006865
97,2606.39,0.46371,0.35824,0.31893,1.03108,0.98748,0.94422,0.96875,0.95086,0.98487,0.94558,0.96678,0.95098,0.16436,0.54084,0.27048,0.83305,0.006832,0.006832,0.006832
98,2632.94,0.46245,0.35328,0.3093,1.03138,0.99425,0.94076,0.96264,0.94595,0.99281,0.9394,0.95896,0.94432,0.15497,0.53683,0.27248,0.8268,0.006799,0.006799,0.006799
99,2659.75,0.46908,0.36416,0.31716,1.03202,0.98103,0.93605,0.96424,0.94863,0.97961,0.93469,0.96197,0.94825,0.16081,0.4944,0.24062,0.82986,0.006766,0.006766,0.006766
100,2686.33,0.46039,0.36035,0.31421,1.02628,0.98588,0.94992,0.97963,0.95884,0.98447,0.94856,0.97758,0.96004,0.17132,0.57017,0.1674,0.83677,0.006733,0.006733,0.006733
101,2712.83,0.45332,0.3548,0.30833,1.02577,0.99285,0.94494,0.96333,0.94852,0.99142,0.94358,0.96181,0.94932,0.15884,0.5213,0.2376,0.8238,0.0067,0.0067,0.0067
102,2739.33,0.46585,0.36123,0.31479,1.02745,0.99679,0.94422,0.96218,0.9476,0.99535,0.94286,0.96016,0.94921,0.16924,0.48192,0.30196,0.83417,0.006667,0.006667,0.006667
103,2766.17,0.46412,0.36856,0.32213,1.02804,0.98734,0.9483,0.96773,0.94954,0.98592,0.94694,0.965,0.949,0.16225,0.51801,0.26238,0.8149,0.006634,0.006634,0.006634
104,2792.79,0.46356,0.35214,0.31233,1.02831,0.99404,0.94422,0.96232,0.94626,0.9926,0.94286,0.95874,0.94685,0.15092,0.54188,0.24537,0.82497,0.006601,0.006601,0.006601
105,2819.38,0.46691,0.37644,0.31209,1.03082,0.995,0.94286,0.96999,0.94936,0.99356,0.9415,0.96813,0.94926,0.16295,0.56486,0.19705,0.82951,0.006568,0.006568,0.006568
106,2846.29,0.46009,0.34001,0.30962,1.02588,0.99713,0.94417,0.96708,0.94873,0.99569,0.94281,0.96423,0.94841,0.15649,0.56084,0.20343,0.83257,0.006535,0.006535,0.006535
107,2873.05,0.46654,0.36373,0.31105,1.02719,0.99506,0.94286,0.97237,0.95263,0.99171,0.94286,0.97045,0.95201,0.16567,0.50473,0.19602,0.83597,0.006502,0.006502,0.006502
108,2899.69,0.45796,0.35867,0.30234,1.02749,0.99564,0.94286,0.963,0.94377,0.9942,0.9415,0.96185,0.94377,0.1718,0.50458,0.25602,0.83986,0.006469,0.006469,0.006469
109,2926.26,0.45804,0.35249,0.31046,1.0242,0.99716,0.94286,0.96083,0.94326,0.99572,0.9415,0.9596,0.93849,0.16613,0.50886,0.22379,0.82776,0.006436,0.006436,0.006436
110,2952.83,0.46221,0.35152,0.31065,1.02514,0.99253,0.94422,0.96251,0.94324,0.9911,0.94286,0.9608,0.94302,0.16516,0.51007,0.23203,0.82866,0.006403,0.006403,0.006403
111,2979.45,0.46971,0.3564,0.32032,1.02751,0.99565,0.93741,0.95316,0.93869,0.99421,0.93605,0.95163,0.93653,0.18878,0.54622,0.46161,0.85023,0.00637,0.00637,0.00637
112,3005.96,0.45094,0.34914,0.30388,1.0246,0.99144,0.94694,0.96636,0.94876,0.9893,0.94558,0.96582,0.95126,0.164,0.52189,0.24844,0.83151,0.006337,0.006337,0.006337
113,3032.53,0.45673,0.3462,0.3121,1.01604,0.9887,0.95249,0.97741,0.95381,0.98729,0.95113,0.97592,0.95531,0.15881,0.52473,0.18169,0.83476,0.006304,0.006304,0.006304
