epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,2316.23,0.47218,0.35283,0.31795,1.0827,0.99507,0.9415,0.95842,0.94081,0.99363,0.94014,0.95709,0.942,0.17111,0.52034,0.25755,0.84427,0.006997,0.006997,0.006997
93,2341.14,0.47752,0.36077,0.32022,1.08224,0.99427,0.94438,0.97,0.94825,0.99284,0.94302,0.96615,0.9502,0.1648,0.57732,0.22513,0.83648,0.006964,0.006964,0.006964
94,2366.22,0.47696,0.36623,0.31902,1.07444,0.99144,0.94552,0.96638,0.94786,0.99001,0.94416,0.96344,0.9467,0.16658,0.54093,0.2832,0.84112,0.006931,0.006931,0.006931
95,2391.35,0.47249,0.37037,0.31445,1.08223,0.99428,0.94622,0.96749,0.94841,0.99142,0.9435,0.96472,0.94814,0.1631,0.56606,0.26014,0.84016,0.006898,0.006898,0.006898
96,2416.29,0.47032,0.35423,0.31878,1.07684,0.99284,0.94376,0.96815,0.95036,0.99284,0.94376,0.96738,0.95181,0.17076,0.54931,0.22828,0.83817,0.006865,0.006865,0.006865
97,2441.15,0.46374,0.35717,0.32106,1.07182,0.98356,0.94966,0.97159,0.95101,0.98215,0.9483,0.96981,0.95268,0.16347,0.56478,0.29897,0.82785,0.006832,0.006832,0.006832
98,2465.95,0.46686,0.35356,0.31217,1.07552,0.99169,0.94966,0.96739,0.94801,0.99027,0.9483,0.96548,0.94969,0.18191,0.58423,0.25863,0.83235,0.006799,0.006799,0.006799
99,2490.79,0.47459,0.36482,0.3192,1.07663,0.98949,0.94422,0.9677,0.94864,0.98806,0.94286,0.96622,0.94963,0.1641,0.55568,0.23512,0.83262,0.006766,0.006766,0.006766
100,2515.96,0.46282,0.36082,0.30908,1.0669,0.98519,0.95238,0.97621,0.9541,0.98519,0.95238,0.9752,0.95516,0.15556,0.61544,0.19361,0.82607,0.006733,0.006733,0.006733
101,2540.76,0.45879,0.35528,0.30978,1.06998,0.99569,0.94276,0.97215,0.95219,0.99425,0.94139,0.96838,0.95136,0.16646,0.60918,0.19795,0.83567,0.0067,0.0067,0.0067
102,2565.63,0.46666,0.36004,0.31378,1.06929,0.98866,0.94935,0.96722,0.94829,0.98725,0.94799,0.96595,0.95101,0.16289,0.59536,0.27621,0.82798,0.006667,0.006667,0.006667
103,2590.49,0.46845,0.36826,0.32139,1.07179,0.9896,0.95374,0.97688,0.95629,0.98819,0.95238,0.9761,0.95903,0.15831,0.52655,0.23349,0.82621,0.006634,0.006634,0.006634
104,2615.67,0.46363,0.35403,0.31252,1.07168,0.99612,0.93878,0.96804,0.94777,0.99464,0.93741,0.96652,0.94798,0.15839,0.52703,0.26717,0.83299,0.006601,0.006601,0.006601
105,2640.61,0.46988,0.36866,0.31292,1.07562,0.98698,0.94694,0.9753,0.95572,0.98698,0.94694,0.97407,0.95445,0.15646,0.54017,0.18994,0.82722,0.006568,0.006568,0.006568
106,2665.49,0.46401,0.34124,0.31214,1.07329,0.99146,0.94767,0.96869,0.95131,0.99004,0.94631,0.96712,0.9524,0.15676,0.62189,0.20784,0.82106,0.006535,0.006535,0.006535
107,2690.42,0.4656,0.35767,0.30823,1.07228,0.98364,0.94014,0.96635,0.94737,0.98522,0.9415,0.96612,0.94681,0.1735,0.53337,0.24066,0.83677,0.006502,0.006502,0.006502
108,2715.29,0.46094,0.35802,0.30988,1.06964,0.99288,0.94907,0.96603,0.9454,0.99006,0.94874,0.96539,0.94672,0.1686,0.51103,0.27681,0.83957,0.006469,0.006469,0.006469
109,2740.04,0.46453,0.34773,0.30745,1.07184,0.98986,0.94422,0.96318,0.94709,0.98843,0.94286,0.96153,0.94663,0.16439,0.52915,0.24926,0.84099,0.006436,0.006436,0.006436
110,2764.74,0.46904,0.35664,0.30485,1.07261,0.99218,0.94286,0.96213,0.94623,0.99075,0.9415,0.95936,0.94757,0.1662,0.56334,0.30403,0.83317,0.006403,0.006403,0.006403
111,2789.63,0.47515,0.36031,0.31821,1.08081,0.99391,0.9415,0.95747,0.94458,0.99247,0.94014,0.95616,0.94329,0.16278,0.5729,0.30868,0.83212,0.00637,0.00637,0.00637
112,2814.53,0.45695,0.34436,0.30242,1.06493,0.98866,0.94919,0.96684,0.94758,0.98725,0.94783,0.96114,0.94837,0.17629,0.59721,0.26499,0.84207,0.006337,0.006337,0.006337
113,2839.41,0.4617,0.34577,0.31477,1.06864,0.991,0.94694,0.96647,0.95208,0.991,0.94694,0.96593,0.95162,0.16341,0.63268,0.24447,0.84516,0.006304,0.006304,0.006304
114,2864.15,0.45462,0.34892,0.30645,1.07174,0.99283,0.94159,0.96589,0.95101,0.99139,0.94022,0.96396,0.95072,0.16028,0.55831,0.2509,0.83553,0.006271,0.006271,0.006271
115,2888.88,0.46206,0.34675,0.30512,1.0687,0.9902,0.94286,0.95648,0.94312,0.98878,0.9415,0.95385,0.94258,0.15756,0.60218,0.35128,0.82651,0.006238,0.006238,0.006238
116,2913.58,0.46698,0.35211,0.31588,1.0737,0.99014,0.95623,0.97455,0.95557,0.98873,0.95487,0.97212,0.958,0.17381,0.51918,0.22921,0.84222,0.006205,0.006205,0.006205
117,2938.23,0.46558,0.35844,0.30911,1.07594,0.98706,0.95782,0.97526,0.95511,0.98565,0.95646,0.97403,0.95891,0.1582,0.58412,0.23289,0.83607,0.006172,0.006172,0.006172
118,2962.94,0.454,0.33908,0.3046,1.06251,0.98592,0.95102,0.97145,0.95249,0.98451,0.94966,0.97078,0.9569,0.17108,0.55019,0.24724,0.84307,0.006139,0.006139,0.006139
119,2987.68,0.4614,0.34978,0.31215,1.07207,0.98867,0.94951,0.97378,0.95559,0.98725,0.94817,0.97171,0.95499,0.16769,0.50186,0.20154,0.84292,0.006106,0.006106,0.006106
120,3012.37,0.45365,0.34933,0.3018,1.06749,0.99218,0.94558,0.96499,0.9473,0.99075,0.94422,0.96345,0.94876,0.15371,0.55722,0.25365,0.83466,0.006073,0.006073,0.006073
121,3037.09,0.45123,0.34603,0.30583,1.07099,0.99003,0.94553,0.96596,0.94705,0.9886,0.94417,0.96427,0.94603,0.16434,0.55227,0.20826,0.84715,0.00604,0.00604,0.00604
122,3061.97,0.45353,0.36175,0.30342,1.06938,0.99232,0.94014,0.96466,0.94968,0.99088,0.93878,0.96264,0.94936,0.14835,0.60103,0.29053,0.82862,0.006007,0.006007,0.006007
123,3086.63,0.45326,0.35637,0.29997,1.05991,0.99224,0.94422,0.96229,0.94624,0.99081,0.94286,0.96145,0.94717,0.15496,0.5234,0.277,0.83414,0.005974,0.005974,0.005974
124,3111.35,0.46004,0.35063,0.30795,1.07024,0.99638,0.93878,0.96683,0.94919,0.99493,0.93741,0.9642,0.95203,0.16294,0.58984,0.21579,0.83174,0.005941,0.005941,0.005941
125,3136.33,0.46794,0.34184,0.30588,1.07192,0.98732,0.95341,0.97788,0.95632,0.98732,0.95367,0.97321,0.95706,0.15061,0.57609,0.18586,0.83045,0.005908,0.005908,0.005908
126,3161.04,0.45881,0.34239,0.30257,1.06771,0.99262,0.94558,0.96548,0.95074,0.99119,0.94422,0.96371,0.94927,0.15329,0.56047,0.24877,0.82865,0.005875,0.005875,0.005875
127,3185.73,0.44616,0.34096,0.30442,1.05998,0.99266,0.94694,0.96939,0.95363,0.99068,0.94558,0.96915,0.95343,0.15998,0.57006,0.23369,0.83024,0.005842,0.005842,0.005842
128,3210.42,0.44879,0.34298,0.29133,1.07265,0.9962,0.94286,0.95833,0.94463,0.99476,0.9415,0.9562,0.94256,0.16556,0.63099,0.242,0.83741,0.005809,0.005809,0.005809
129,3235.38,0.44347,0.3482,0.2954,1.06043,0.99496,0.9415,0.96163,0.94784,0.99352,0.94014,0.96078,0.94757,0.14807,0.53876,0.28403,0.83067,0.005776,0.005776,0.005776
